kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,GHGe,2050,3894.258832,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,land,2010,10982.85802,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,land,2030,11183.78675,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,land,2050,11357.22886,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,water,2010,1564.837753,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,water,2030,1586.739782,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,water,2050,1616.382147,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr,2010,74916.75245,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr,2030,90994.25747,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr,2050,102346.3844,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,phos,2010,13604.0425,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,phos,2030,16671.08119,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,phos,2050,18082.35827,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr_splus,2010,107587.9941,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr_splus,2030,122226.3075,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr_splus,2050,135003.9775,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr_sfert,2010,107240.5039,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr_sfert,2030,124614.1435,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH,nitr_sfert,2050,137275.5157,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,GHGe,2010,2323.030169,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,GHGe,2030,3356.787952,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,GHGe,2050,3816.345973,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,land,2010,10847.14988,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,land,2030,10666.50373,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,land,2050,9667.835289,,,,,,,,,,
2100kcal,SSP2,abs,FLX,half_w,TECH_p,water,2010,1564.608706,,,,,,,,,,
